,Dt_Customer,Age,Marital_Status,total_number_of_children,Income,total_spending,total_number_of_purches,NumDealsPurchases,first_day,day_engaged
808,2013-03-22,42,relationship,2,59666,1027,20,7,2015-01-01,650
809,2013-06-04,42,Single,1,72504,1478,22,2,2015-01-01,576
810,2013-10-16,33,relationship,0,26872,72,5,1,2015-01-01,442
811,2013-04-20,42,Single,1,21359,48,7,2,2015-01-01,621
812,2014-05-31,39,Single,0,73170,726,16,1,2015-01-01,215
813,2013-04-02,59,relationship,1,52750,860,27,6,2015-01-01,639
814,2013-11-23,28,relationship,0,91820,1497,22,0,2015-01-01,404
815,2014-12-05,44,relationship,1,65968,495,18,2,2015-01-01,27
816,2014-12-03,38,relationship,2,30772,20,4,1,2015-01-01,29
817,2012-11-24,60,Single,0,22507,570,19,3,2015-01-01,768
818,2014-03-29,42,relationship,1,65685,769,21,1,2015-01-01,278
819,2013-01-09,36,relationship,1,25804,55,7,2,2015-01-01,722
820,2013-05-05,34,Single,0,76412,1808,18,1,2015-01-01,606
821,2013-08-08,42,relationship,1,22063,55,7,2,2015-01-01,511
822,2014-06-15,53,Single,0,57091,577,18,1,2015-01-01,200
823,2013-04-18,51,relationship,0,22419,162,8,1,2015-01-01,623
824,2013-05-22,55,relationship,1,87771,1957,20,1,2015-01-01,589
825,2013-04-16,55,Single,1,78353,1576,24,1,2015-01-01,625
826,2013-07-05,60,relationship,3,93404,1616,17,3,2015-01-01,545
827,2013-12-01,52,Single,3,37859,36,6,2,2015-01-01,396
828,2013-11-05,56,Single,1,80995,1482,22,1,2015-01-01,422
829,2014-01-03,30,relationship,1,16529,22,5,1,2015-01-01,363
830,2013-11-22,38,Single,2,55412,63,6,1,2015-01-01,405
831,2012-10-09,22,Single,0,48789,680,18,1,2015-01-01,814
832,2013-05-05,47,relationship,2,56575,542,20,3,2015-01-01,606
833,2013-02-10,34,relationship,1,25130,50,7,2,2015-01-01,690
834,2013-02-14,47,relationship,2,35441,39,6,2,2015-01-01,686
835,2013-03-29,58,relationship,1,71391,1043,28,5,2015-01-01,643
836,2013-04-25,42,Single,1,49494,385,14,2,2015-01-01,616
837,2012-09-23,34,Single,0,81702,1633,27,1,2015-01-01,830
838,2013-02-07,34,Single,1,45889,46,5,1,2015-01-01,693
839,2014-03-21,37,Single,1,56628,761,20,2,2015-01-01,286
840,2013-05-08,64,relationship,2,34026,76,9,3,2015-01-01,603
841,2012-11-29,40,relationship,1,40049,290,14,3,2015-01-01,763
842,2014-12-05,26,Single,1,34176,89,11,4,2015-01-01,27
843,2012-10-11,33,relationship,1,19419,70,11,4,2015-01-01,812
844,2013-07-27,54,relationship,0,82504,1066,17,1,2015-01-01,523
845,2014-01-13,44,relationship,0,81205,2009,19,1,2015-01-01,353
846,2012-09-29,23,Single,0,61618,1345,19,2,2015-01-01,824
847,2012-12-24,58,Single,1,55284,764,23,3,2015-01-01,738
848,2013-10-23,51,Single,1,49980,195,11,2,2015-01-01,435
849,2013-10-05,34,relationship,2,15072,53,11,4,2015-01-01,453
850,2013-06-13,40,Single,1,49166,368,13,2,2015-01-01,567
851,2014-11-01,60,relationship,1,65324,544,20,3,2015-01-01,61
852,2012-06-11,57,relationship,0,82347,1853,25,1,2015-01-01,934
853,2014-05-26,48,relationship,2,30843,35,6,2,2015-01-01,220
854,2014-03-17,40,relationship,1,46374,446,18,3,2015-01-01,290
855,2013-01-04,35,Single,1,60474,1180,31,7,2015-01-01,727
856,2014-04-03,41,relationship,1,38576,41,5,1,2015-01-01,273
857,2013-02-19,29,relationship,2,55357,727,22,3,2015-01-01,681
858,2012-04-10,48,relationship,2,37758,40,6,2,2015-01-01,996
859,2013-05-05,25,relationship,0,85710,1062,26,1,2015-01-01,606
860,2014-01-26,45,relationship,1,23228,40,7,2,2015-01-01,340
861,2014-02-15,45,relationship,2,44602,292,17,6,2015-01-01,320
862,2013-09-01,27,relationship,0,7500,15,4,1,2015-01-01,487
863,2012-04-10,25,relationship,1,38683,341,17,6,2015-01-01,996
864,2013-12-17,39,Single,1,49514,369,13,2,2015-01-01,380
865,2013-11-06,41,relationship,1,57906,401,17,3,2015-01-01,421
866,2013-03-26,48,Single,1,43456,393,17,3,2015-01-01,646
867,2013-09-24,28,Single,2,19485,10,4,1,2015-01-01,464
868,2013-06-05,36,relationship,1,53172,486,16,3,2015-01-01,575
869,2012-10-17,35,relationship,1,30545,69,7,2,2015-01-01,806
870,2013-09-28,31,relationship,0,70123,1727,17,1,2015-01-01,460
871,2014-06-01,55,Single,1,62450,995,16,2,2015-01-01,214
872,2014-11-06,38,relationship,1,21675,45,10,3,2015-01-01,56
873,2014-04-04,33,Single,2,42395,182,12,4,2015-01-01,272
874,2013-06-10,36,relationship,1,61346,989,23,1,2015-01-01,570
875,2013-09-17,61,relationship,0,80812,1677,18,1,2015-01-01,471
876,2013-06-30,43,Single,2,42835,595,23,7,2015-01-01,550
877,2013-02-14,31,relationship,1,39922,156,9,2,2015-01-01,686
878,2014-05-04,58,Single,0,86424,1226,28,1,2015-01-01,242
879,2013-01-17,36,relationship,1,17117,128,11,4,2015-01-01,714
880,2014-10-02,42,Single,1,24762,86,9,3,2015-01-01,91
881,2012-10-16,39,relationship,1,35797,68,7,2,2015-01-01,807
882,2013-07-23,39,Single,2,36627,16,4,1,2015-01-01,527
883,2014-06-19,33,relationship,2,51111,55,7,2,2015-01-01,196
884,2012-12-09,42,Single,0,86857,2114,22,1,2015-01-01,753
885,2013-02-07,44,relationship,0,82072,2018,19,1,2015-01-01,693
886,2012-11-26,61,Single,3,46231,263,15,4,2015-01-01,766
887,2013-11-12,55,relationship,2,42243,55,7,2,2015-01-01,415
888,2013-01-04,52,relationship,2,51195,564,24,8,2015-01-01,727
889,2013-12-16,36,Single,0,68092,1281,20,2,2015-01-01,381
890,2013-09-02,41,relationship,1,31814,83,7,2,2015-01-01,486
891,2012-08-09,49,Single,2,51390,353,18,6,2015-01-01,875
892,2014-01-14,31,relationship,0,76630,1003,25,1,2015-01-01,352
893,2014-04-30,23,Single,1,26868,14,4,1,2015-01-01,246
894,2013-01-02,71,Single,0,48948,902,24,2,2015-01-01,729
895,2012-12-12,42,Single,1,55260,1139,25,2,2015-01-01,750
896,2013-07-08,58,relationship,1,64090,797,20,1,2015-01-01,542
897,2014-01-23,56,Single,1,78331,1638,25,2,2015-01-01,343
898,2013-11-08,40,relationship,1,37087,401,17,3,2015-01-01,419
899,2013-10-22,28,Single,1,21846,84,11,4,2015-01-01,436
900,2013-06-02,56,relationship,0,81320,928,18,1,2015-01-01,578
901,2013-08-16,44,Single,1,54137,203,11,2,2015-01-01,503
902,2013-07-14,47,relationship,0,66825,858,16,1,2015-01-01,536
903,2013-04-12,41,relationship,0,57100,409,13,1,2015-01-01,629
904,2013-03-24,45,relationship,3,58917,282,16,5,2015-01-01,648
905,2014-09-04,37,Single,0,85072,1423,18,1,2015-01-01,119
906,2013-11-21,53,Single,0,86429,1449,18,0,2015-01-01,406
907,2013-02-12,43,Single,1,45684,28,4,1,2015-01-01,688
908,2014-04-01,40,relationship,1,47889,67,6,1,2015-01-01,275
909,2014-10-03,28,relationship,0,45921,199,10,1,2015-01-01,90
910,2013-06-29,48,Single,0,78420,1453,22,1,2015-01-01,551
911,2013-07-11,22,relationship,0,75114,1253,19,1,2015-01-01,539
912,2013-01-25,51,Single,1,52278,1198,31,6,2015-01-01,706
913,2013-07-14,42,relationship,1,35641,178,10,2,2015-01-01,536
914,2012-03-12,20,Single,0,95529,1990,18,1,2015-01-01,1025
915,2013-11-05,60,relationship,0,62820,976,14,1,2015-01-01,422
916,2013-12-26,54,relationship,0,73113,1001,15,1,2015-01-01,371
917,2013-07-08,32,relationship,0,84169,1919,20,1,2015-01-01,542
918,2013-11-17,60,Single,1,42607,350,14,2,2015-01-01,410
919,2013-05-18,60,Single,0,74637,1650,25,1,2015-01-01,593
920,2014-04-13,59,relationship,2,46015,46,5,1,2015-01-01,263
921,2013-04-17,21,Single,0,72354,1228,19,1,2015-01-01,624
922,2013-01-24,45,Single,1,39858,95,7,1,2015-01-01,707
923,2014-04-05,66,relationship,2,34469,62,9,3,2015-01-01,271
924,2014-05-18,28,relationship,1,83033,1761,26,1,2015-01-01,228
925,2012-08-31,35,relationship,0,24401,467,16,3,2015-01-01,853
926,2014-10-02,36,relationship,0,77583,1149,19,1,2015-01-01,91
927,2013-12-30,32,Single,0,74116,2052,19,1,2015-01-01,367
928,2014-04-05,21,Single,0,74293,1127,16,1,2015-01-01,271
929,2013-11-17,38,relationship,1,68397,1416,21,1,2015-01-01,410
930,2014-08-04,40,relationship,0,79632,1113,20,1,2015-01-01,150
931,2014-10-02,25,Single,1,46107,125,7,1,2015-01-01,91
932,2012-12-08,63,Single,1,64950,966,25,2,2015-01-01,754
933,2012-12-22,25,relationship,1,25443,32,5,1,2015-01-01,740
934,2014-05-22,62,Single,0,75127,833,19,1,2015-01-01,224
935,2014-05-25,43,relationship,1,32892,46,8,2,2015-01-01,221
936,2013-10-24,43,relationship,0,71796,960,17,1,2015-01-01,434
937,2013-05-22,44,relationship,1,67536,1829,30,3,2015-01-01,589
938,2013-07-14,43,Single,1,55239,779,26,3,2015-01-01,536
939,2013-09-08,39,Single,1,60554,811,23,2,2015-01-01,480
940,2013-10-06,62,Single,2,64831,1120,22,8,2015-01-01,452
941,2013-07-20,52,relationship,1,56067,725,20,2,2015-01-01,530
942,2013-05-28,31,Single,0,82025,1187,12,1,2015-01-01,583
943,2013-04-03,61,relationship,0,94384,2302,18,0,2015-01-01,638
944,2012-12-22,28,Single,0,14906,66,9,3,2015-01-01,740
945,2012-01-10,27,relationship,0,51563,1250,19,1,2015-01-01,1087
946,2014-02-16,32,relationship,1,57937,683,20,3,2015-01-01,319
947,2013-09-30,35,Single,2,68274,305,13,2,2015-01-01,458
948,2013-06-12,37,relationship,1,39771,50,6,1,2015-01-01,568
949,2012-01-10,39,Single,1,67893,995,16,2,2015-01-01,1087
950,2014-10-05,35,relationship,1,27922,41,6,1,2015-01-01,88
951,2014-08-05,38,relationship,2,52190,77,9,3,2015-01-01,149
952,2013-01-29,41,Single,2,44051,171,12,4,2015-01-01,702
953,2013-11-05,43,Single,2,42767,131,7,1,2015-01-01,422
954,2014-11-05,38,relationship,2,46106,54,5,1,2015-01-01,57
955,2013-10-02,38,relationship,2,16927,53,12,5,2015-01-01,456
956,2012-01-12,49,relationship,1,59754,475,16,3,2015-01-01,1085
957,2012-08-17,62,Single,1,53700,694,22,4,2015-01-01,867
958,2014-07-05,41,relationship,2,59041,96,8,2,2015-01-01,180
959,2013-04-27,57,Single,1,54237,361,16,4,2015-01-01,614
960,2012-09-21,47,Single,1,70647,1079,26,2,2015-01-01,832
961,2014-07-05,52,Single,1,52597,578,20,3,2015-01-01,180
962,2012-12-30,45,relationship,1,41021,64,7,2,2015-01-01,732
963,2013-10-14,39,relationship,1,40233,149,13,5,2015-01-01,444
964,2014-06-25,34,relationship,2,50183,231,17,7,2015-01-01,190
965,2013-12-09,55,relationship,1,54753,728,21,3,2015-01-01,388
966,2013-08-19,41,relationship,0,92955,1778,23,1,2015-01-01,500
967,2012-12-10,41,relationship,1,33471,93,10,3,2015-01-01,752
968,2013-04-13,40,relationship,1,34596,23,4,1,2015-01-01,628
969,2012-10-13,34,relationship,1,44010,662,24,6,2015-01-01,810
970,2014-02-02,26,relationship,0,84219,1198,18,1,2015-01-01,333
971,2013-01-17,46,relationship,3,40706,81,11,4,2015-01-01,714
972,2012-12-11,26,relationship,1,15716,92,10,3,2015-01-01,751
973,2013-11-17,55,Single,1,59052,491,18,3,2015-01-01,410
974,2012-10-14,43,relationship,0,80573,1564,24,1,2015-01-01,809
975,2014-03-02,52,relationship,0,83715,926,24,1,2015-01-01,305
976,2012-01-08,55,relationship,0,82576,1910,19,1,2015-01-01,1089
977,2013-11-10,49,relationship,3,56962,411,21,7,2015-01-01,417
978,2014-03-01,62,relationship,2,35704,94,9,3,2015-01-01,306
979,2013-12-09,60,relationship,1,53103,1085,28,5,2015-01-01,388
980,2013-12-07,54,Single,2,46779,23,4,1,2015-01-01,390
981,2014-06-22,49,Single,0,4861,6,0,0,2015-01-01,193
982,2013-07-08,35,Single,1,33462,54,6,1,2015-01-01,542
983,2013-10-14,36,Single,1,63693,1150,29,3,2015-01-01,444
984,2013-08-15,64,relationship,0,80763,1415,23,1,2015-01-01,504
985,2013-08-21,40,relationship,1,65352,405,16,2,2015-01-01,498
986,2013-11-25,36,relationship,0,82170,1908,19,1,2015-01-01,402
987,2013-10-25,45,relationship,0,75759,2486,26,1,2015-01-01,433
988,2013-12-05,38,Single,0,79689,1315,27,1,2015-01-01,392
989,2014-06-29,58,Single,2,35340,45,7,2,2015-01-01,186
990,2014-03-21,60,Single,0,85683,1789,17,1,2015-01-01,286
991,2012-11-29,42,relationship,1,24884,19,4,1,2015-01-01,763
992,2012-08-31,33,relationship,1,42021,573,22,5,2015-01-01,853
993,2014-02-18,25,Single,1,64449,805,24,4,2015-01-01,317
994,2014-06-22,60,Single,2,64587,108,8,2,2015-01-01,193
995,2014-03-26,19,Single,0,34824,23,4,1,2015-01-01,281
996,2013-09-11,36,relationship,0,75437,1493,23,1,2015-01-01,477
997,2014-02-25,57,relationship,2,26091,89,9,3,2015-01-01,310
998,2013-08-13,41,relationship,1,52845,936,25,3,2015-01-01,506
999,2013-03-11,58,Single,1,46086,343,16,4,2015-01-01,661
1000,2012-10-09,58,Single,1,78028,528,20,1,2015-01-01,814
1001,2013-09-10,27,Single,0,95169,1901,12,1,2015-01-01,478
1002,2013-03-27,33,relationship,2,56337,724,22,5,2015-01-01,645
1003,2013-02-13,27,relationship,1,22434,58,7,2,2015-01-01,687
1004,2013-05-17,60,relationship,1,36930,297,16,5,2015-01-01,594
1005,2013-02-02,60,Single,1,36130,488,21,6,2015-01-01,698
1006,2012-05-11,61,relationship,1,65569,859,23,2,2015-01-01,965
1007,2013-12-05,62,relationship,0,83844,1574,20,1,2015-01-01,392
1008,2014-01-26,46,relationship,2,19514,69,10,4,2015-01-01,340
1009,2013-10-05,51,Single,2,36736,17,4,1,2015-01-01,453
1010,2012-08-25,35,relationship,1,77568,2194,21,1,2015-01-01,859
1011,2014-11-01,38,relationship,1,49187,116,8,1,2015-01-01,61
1012,2013-07-03,36,Single,1,30168,279,18,7,2015-01-01,547
1013,2012-10-09,46,relationship,1,34053,103,7,1,2015-01-01,814
1014,2014-04-18,43,relationship,2,38196,44,9,3,2015-01-01,258
1015,2014-04-19,63,relationship,0,59412,406,15,1,2015-01-01,257
1016,2014-07-04,49,relationship,0,70924,1363,20,1,2015-01-01,181
1017,2013-05-28,45,relationship,0,54165,236,11,1,2015-01-01,583
1018,2013-03-01,41,relationship,1,32300,39,5,1,2015-01-01,671
1019,2013-02-20,38,Single,0,20180,137,8,1,2015-01-01,680
1020,2014-06-19,41,relationship,1,34961,79,10,3,2015-01-01,196
1021,2013-07-07,40,relationship,1,28440,63,6,1,2015-01-01,543
1022,2013-04-03,61,relationship,3,64504,1314,25,7,2015-01-01,638
1023,2014-06-24,48,relationship,1,33564,71,6,1,2015-01-01,191
1024,2012-03-11,36,relationship,1,17345,58,7,2,2015-01-01,1026
1025,2013-08-04,47,relationship,1,56320,702,21,3,2015-01-01,515
1026,2013-08-21,36,Single,1,28647,94,7,1,2015-01-01,498
1027,2013-01-29,27,Single,1,15038,80,7,2,2015-01-01,702
1028,2013-01-08,56,Single,1,32173,22,5,1,2015-01-01,723
1029,2012-04-11,50,relationship,1,68316,1211,32,5,2015-01-01,995
1030,2013-06-29,43,relationship,0,74538,1461,22,1,2015-01-01,551
1031,2013-01-17,43,Single,0,91700,1968,20,1,2015-01-01,714
1032,2014-06-25,45,relationship,0,68695,1091,16,1,2015-01-01,190
1033,2013-01-22,37,relationship,1,31056,55,5,1,2015-01-01,709
1034,2014-12-05,41,relationship,0,79593,1366,19,1,2015-01-01,27
1035,2012-08-29,34,Single,0,28071,313,13,2,2015-01-01,855
1036,2014-02-26,56,relationship,2,37334,62,11,4,2015-01-01,309
1037,2013-09-18,42,Single,2,46423,92,9,3,2015-01-01,470
1038,2014-03-30,43,relationship,1,37126,72,6,1,2015-01-01,277
1039,2013-05-29,61,relationship,1,47703,655,21,4,2015-01-01,582
1040,2014-04-23,55,relationship,1,61180,704,18,2,2015-01-01,253
1041,2012-03-11,60,relationship,2,38998,54,8,3,2015-01-01,1026
1042,2012-09-18,23,Single,0,8028,178,16,15,2015-01-01,835
1043,2014-05-23,52,relationship,0,76081,1033,14,1,2015-01-01,223
1044,2013-07-30,28,relationship,1,34728,36,5,1,2015-01-01,520
1045,2012-10-13,49,Single,1,33168,122,10,3,2015-01-01,810
1046,2013-09-25,48,relationship,1,33585,122,7,1,2015-01-01,463
1047,2013-10-13,54,relationship,1,77037,1123,27,1,2015-01-01,445
1048,2012-11-13,30,relationship,1,35196,497,18,6,2015-01-01,779
1049,2013-05-07,48,relationship,1,44529,691,25,6,2015-01-01,604
1050,2014-07-04,49,relationship,0,70924,1363,20,1,2015-01-01,181
1051,2014-05-06,48,relationship,2,28764,12,4,1,2015-01-01,240
1052,2013-02-16,65,relationship,0,69098,2440,25,1,2015-01-01,684
1053,2013-02-14,44,Single,2,25959,56,7,2,2015-01-01,686
1054,2013-05-04,31,relationship,1,27100,37,5,1,2015-01-01,607
1055,2012-05-10,29,Single,0,70596,968,21,1,2015-01-01,966
1056,2012-08-29,40,relationship,1,42557,270,15,4,2015-01-01,855
1057,2013-09-08,63,relationship,0,53312,278,12,1,2015-01-01,480
1058,2012-11-27,62,Single,0,72228,1250,22,1,2015-01-01,765
1059,2013-03-31,27,relationship,0,67605,938,17,1,2015-01-01,641
1060,2012-01-10,65,relationship,2,62845,1178,28,11,2015-01-01,1087
1061,2013-07-25,56,relationship,2,65196,1155,26,2,2015-01-01,525
1062,2013-10-01,27,Single,0,42000,653,20,2,2015-01-01,457
1063,2014-05-19,41,Single,2,35860,49,6,2,2015-01-01,227
1064,2014-11-04,50,relationship,1,65526,506,17,1,2015-01-01,58
1065,2012-12-09,53,relationship,2,16860,38,8,3,2015-01-01,753
1066,2014-01-05,22,Single,0,83528,1650,23,1,2015-01-01,361
1067,2012-03-08,49,Single,1,64176,1826,33,8,2015-01-01,1029
1068,2012-04-08,58,Single,0,22304,18,4,1,2015-01-01,998
1069,2014-04-03,36,relationship,0,67023,906,24,1,2015-01-01,273
1070,2014-05-25,43,relationship,1,32892,46,8,2,2015-01-01,221
1071,2012-03-12,48,relationship,1,70713,1477,25,6,2015-01-01,1025
1072,2012-11-30,59,relationship,1,59925,766,23,3,2015-01-01,762
1073,2014-02-24,61,relationship,1,39722,47,7,2,2015-01-01,311
1074,2013-07-18,56,relationship,0,46610,467,14,1,2015-01-01,532
1075,2013-03-07,53,relationship,0,88347,2116,21,1,2015-01-01,665
1076,2013-01-05,33,relationship,0,87171,1298,25,1,2015-01-01,726
1077,2013-08-20,38,relationship,2,26907,22,6,2,2015-01-01,499
1078,2014-01-22,46,Single,1,50014,396,15,2,2015-01-01,344
1079,2013-04-22,36,relationship,1,41014,20,4,1,2015-01-01,619
1080,2014-03-17,49,Single,0,66294,967,13,1,2015-01-01,290
1081,2012-11-17,43,relationship,1,36715,357,19,6,2015-01-01,775
1082,2012-08-22,58,relationship,0,79456,1401,16,1,2015-01-01,862
1083,2013-08-17,32,relationship,1,40479,15,4,1,2015-01-01,502
1084,2013-02-02,44,Single,0,75345,2087,20,1,2015-01-01,698
1085,2013-04-02,37,relationship,1,54233,981,26,4,2015-01-01,639
1086,2013-12-10,44,Single,2,24163,17,6,2,2015-01-01,387
1087,2013-04-01,56,relationship,0,84460,523,22,0,2015-01-01,640
1088,2014-03-05,31,relationship,1,43776,23,4,1,2015-01-01,302
1089,2014-03-17,56,Single,0,71691,1192,17,1,2015-01-01,290
1090,2014-05-29,41,relationship,0,85844,1958,20,1,2015-01-01,217
1091,2014-04-26,40,Single,1,39190,133,9,2,2015-01-01,250
1092,2013-08-23,55,relationship,0,71367,777,17,1,2015-01-01,496
1093,2013-06-22,42,Single,2,38578,73,9,3,2015-01-01,558
1094,2014-12-03,49,relationship,2,57236,121,10,3,2015-01-01,29
1095,2013-07-08,35,Single,1,61825,424,15,1,2015-01-01,542
1096,2014-02-06,56,Single,1,79803,868,13,1,2015-01-01,329
1097,2012-10-31,28,Single,0,80910,756,15,1,2015-01-01,792
1098,2013-04-23,32,relationship,1,27590,12,4,1,2015-01-01,618
1099,2013-02-01,35,relationship,1,56775,937,25,2,2015-01-01,699
1100,2013-08-10,39,Single,0,83829,1862,17,0,2015-01-01,509
1101,2013-05-20,35,relationship,1,54210,367,14,2,2015-01-01,591
1102,2013-02-08,28,relationship,1,38508,443,20,6,2015-01-01,692
1103,2013-10-26,44,relationship,1,53187,267,13,2,2015-01-01,432
1104,2014-03-24,42,relationship,1,30023,61,6,1,2015-01-01,283
1105,2013-11-15,54,Single,0,76045,1323,21,1,2015-01-01,412
1106,2014-06-19,62,relationship,1,50870,63,6,1,2015-01-01,196
1107,2013-03-08,44,relationship,0,15315,64,8,2,2015-01-01,664
1108,2014-01-30,40,relationship,1,65463,562,19,2,2015-01-01,336
1109,2014-05-31,49,relationship,2,66480,312,19,7,2015-01-01,215
1110,2013-02-25,60,Single,0,76773,1156,16,1,2015-01-01,675
1111,2013-01-03,31,Single,0,81698,1104,16,1,2015-01-01,728
1112,2014-09-02,41,Single,2,54466,16,4,1,2015-01-01,121
1113,2014-02-17,54,Single,0,98777,2008,19,0,2015-01-01,318
1114,2013-08-30,30,Single,1,16269,44,9,3,2015-01-01,489
1115,2013-08-28,43,relationship,1,71819,1574,14,3,2015-01-01,491
1116,2013-10-16,31,relationship,1,33569,63,5,1,2015-01-01,442
1117,2013-09-20,31,relationship,0,36262,426,12,1,2015-01-01,468
1118,2013-01-16,48,relationship,0,22634,96,6,1,2015-01-01,715
1119,2013-12-09,36,relationship,1,47025,635,23,5,2015-01-01,388
1120,2013-06-10,46,Single,1,70566,757,22,2,2015-01-01,570
1121,2012-11-22,35,relationship,1,31605,125,9,2,2015-01-01,770
1122,2013-05-17,41,Single,2,52034,332,16,5,2015-01-01,594
1123,2013-12-24,35,Single,1,48526,135,8,1,2015-01-01,373
1124,2012-11-18,60,relationship,1,46734,330,14,2,2015-01-01,774
1125,2012-12-18,52,Single,2,39552,384,20,7,2015-01-01,744
1126,2012-08-08,48,Single,2,86358,1722,18,4,2015-01-01,876
1127,2014-04-24,37,relationship,3,46931,78,7,2,2015-01-01,252
1128,2013-12-01,29,Single,0,16581,24,4,1,2015-01-01,396
1129,2013-12-20,62,Single,0,63998,1168,25,1,2015-01-01,377
1130,2013-01-15,63,relationship,1,67381,957,17,4,2015-01-01,716
1131,2013-10-10,47,Single,2,25930,15,4,1,2015-01-01,448
1132,2014-07-06,36,relationship,1,42693,57,5,1,2015-01-01,179
1133,2012-12-11,38,relationship,1,85606,1956,24,2,2015-01-01,751
1134,2013-10-29,29,Single,0,72903,2013,21,1,2015-01-01,429
1135,2014-05-24,40,relationship,1,49669,326,14,2,2015-01-01,222
1136,2012-05-08,46,relationship,2,36778,77,9,3,2015-01-01,968
1137,2013-03-05,52,Single,0,85696,1313,20,1,2015-01-01,667
1138,2014-05-22,25,Single,0,10979,30,8,2,2015-01-01,224
1139,2013-02-02,53,relationship,1,49678,315,14,2,2015-01-01,698
1140,2013-06-20,61,relationship,1,56129,660,22,4,2015-01-01,560
1141,2013-01-31,25,relationship,1,37155,74,7,1,2015-01-01,700
1142,2014-11-05,36,Single,1,21282,46,7,2,2015-01-01,57
1143,2013-08-17,52,Single,1,33419,86,8,2,2015-01-01,502
1144,2013-05-11,69,Single,0,63285,1103,25,1,2015-01-01,600
1145,2014-01-21,40,relationship,1,21255,61,11,4,2015-01-01,345
1146,2013-11-19,33,relationship,1,42162,145,9,2,2015-01-01,408
1147,2012-09-14,58,relationship,2,54450,684,31,12,2015-01-01,839
1148,2013-12-11,60,relationship,1,57744,411,16,2,2015-01-01,386
1149,2012-10-13,28,Single,1,26576,27,4,1,2015-01-01,810
1150,2013-06-07,71,Single,0,57513,1060,27,2,2015-01-01,573
1151,2012-08-29,50,relationship,1,68142,1459,24,3,2015-01-01,855
1152,2012-08-29,35,relationship,1,7500,18,4,1,2015-01-01,855
1153,2012-09-22,40,relationship,0,83145,1833,26,1,2015-01-01,831
1154,2014-03-04,54,relationship,1,54197,237,12,2,2015-01-01,303
1155,2014-05-28,51,Single,2,23091,48,10,4,2015-01-01,218
1156,2013-07-21,38,relationship,2,46049,515,26,10,2015-01-01,529
1157,2012-05-12,40,relationship,0,56715,1020,15,1,2015-01-01,964
1158,2014-05-29,53,relationship,0,79410,1370,11,1,2015-01-01,217
1159,2013-11-03,63,relationship,1,57304,1026,25,2,2015-01-01,424
1160,2014-03-23,49,relationship,1,44375,301,12,1,2015-01-01,284
1161,2012-09-14,58,relationship,2,54450,684,31,12,2015-01-01,839
1162,2012-10-20,49,relationship,1,59594,499,17,1,2015-01-01,803
1163,2012-08-22,20,relationship,0,80685,1004,21,1,2015-01-01,862
1164,2013-10-13,40,relationship,1,40344,218,12,2,2015-01-01,445
1165,2013-05-23,42,relationship,1,62710,606,22,4,2015-01-01,588
1166,2013-05-07,46,relationship,1,48985,75,6,1,2015-01-01,604
1167,2012-08-22,46,relationship,3,35322,106,9,3,2015-01-01,862
1168,2013-05-29,66,relationship,0,77142,990,17,1,2015-01-01,582
1169,2014-01-22,45,Single,0,81657,1097,16,1,2015-01-01,344
1170,2014-02-17,18,relationship,0,14421,16,4,1,2015-01-01,318
1171,2014-03-17,40,relationship,0,20130,34,5,1,2015-01-01,290
1172,2012-08-26,24,relationship,0,74214,1711,16,1,2015-01-01,858
1173,2014-12-01,57,relationship,2,66726,438,17,3,2015-01-01,31
1174,2013-08-01,35,relationship,1,23724,75,7,2,2015-01-01,518
1175,2013-11-13,54,relationship,1,47353,225,13,3,2015-01-01,414
1176,2012-03-11,62,relationship,2,33444,18,4,1,2015-01-01,1026
1177,2013-05-17,33,relationship,1,54386,470,17,2,2015-01-01,594
1178,2013-04-13,33,Single,2,28510,91,9,3,2015-01-01,628
1179,2014-02-13,23,Single,0,90638,2525,18,1,2015-01-01,322
1180,2013-01-13,64,relationship,1,48070,504,19,3,2015-01-01,718
1181,2013-05-01,57,relationship,1,43140,235,11,1,2015-01-01,610
1182,2013-01-19,53,Single,1,54959,1232,21,3,2015-01-01,712
1183,2013-03-05,56,Single,2,15056,88,12,5,2015-01-01,667
1184,2014-08-05,43,Single,1,26954,17,4,1,2015-01-01,149
1185,2013-02-08,29,Single,1,22327,24,5,1,2015-01-01,692
1186,2013-08-22,49,relationship,2,44393,60,7,2,2015-01-01,497
1187,2013-08-25,62,Single,1,62000,1020,26,1,2015-01-01,494
1188,2012-06-12,52,relationship,1,31497,155,10,2,2015-01-01,933
1189,2014-02-27,40,relationship,2,45894,51,5,1,2015-01-01,308
1190,2012-12-22,44,Single,0,78579,1812,16,1,2015-01-01,740
1191,2012-11-17,45,Single,1,67369,1461,25,4,2015-01-01,775
1192,2014-04-20,54,Single,1,58401,96,6,1,2015-01-01,256
1193,2014-02-17,62,Single,1,62307,160,9,1,2015-01-01,318
1194,2013-04-22,45,relationship,2,43641,139,10,3,2015-01-01,619
1195,2013-04-21,46,Single,1,63841,908,22,1,2015-01-01,620
1196,2013-01-09,49,relationship,1,46891,183,8,1,2015-01-01,722
1197,2013-03-31,45,relationship,1,70091,1161,19,2,2015-01-01,641
1198,2014-05-04,42,relationship,0,78075,988,14,1,2015-01-01,242
1199,2012-09-09,53,Single,1,59184,1072,27,3,2015-01-01,844
1200,2013-11-09,37,relationship,2,54809,174,12,4,2015-01-01,418
